ADC3,ADC4,ADC5,ADC6,ADC7,Altitude,ColorName,ColorRaw,ColorRgb,Pressure,Temperature,Potentiometer1,Potentiometer2,Light,Dt,MsgType,DeviceName,EventProcessedUtcTime,PartitionId,EventEnqueuedUtcTime,IoTHub
0.010752688172043012,0.0048875855327468231,0.0039100684261974585,0.0029325513196480938,0.0029325513196480938,59.3005524,DarkSlateBlue,Record,Record,100614.773,22.3508129,0.50830889540566959,0.52101661779081132,0.15933528836754643,2016-02-27T19:01:13.4002675Z,ALL,D01,2016-02-27T19:01:39.0470025Z,0,2016-02-27T19:01:39.1520000Z,Record
0.00097751710654936461,0.0019550342130987292,0.0019550342130987292,0.0019550342130987292,0.0019550342130987292,58.9438477,DarkSlateBlue,Record,Record,100619.031,22.3458252,0.50830889540566959,0.52101661779081132,0.15933528836754643,2016-02-27T19:01:18.4278911Z,ALL,D01,2016-02-27T19:01:44.0222187Z,0,2016-02-27T19:01:44.1840000Z,Record
0.012707722385141741,0.0058651026392961877,0.0029325513196480938,0.0029325513196480938,0.0029325513196480938,59.2450638,DarkSlateBlue,Record,Record,100615.438,22.3408375,0.50830889540566959,0.52101661779081132,0.15933528836754643,2016-02-27T19:01:23.4639517Z,ALL,D01,2016-02-27T19:01:48.8466497Z,0,2016-02-27T19:01:49.2310000Z,Record
0,0.0019550342130987292,0.0019550342130987292,0.0019550342130987292,0.0019550342130987292,59.5013657,DarkSlateBlue,Record,Record,100612.367,22.3508129,0.50830889540566959,0.52101661779081132,0.15933528836754643,2016-02-27T19:01:28.5161213Z,ALL,D01,2016-02-27T19:01:53.7967376Z,0,2016-02-27T19:01:54.2780000Z,Record
0.0029325513196480938,0.0019550342130987292,0.0019550342130987292,0.0019550342130987292,0.0019550342130987292,59.5568542,DarkSlateBlue,Record,Record,100611.719,22.3458252,0.50830889540566959,0.52101661779081132,0.15835777126099707,2016-02-27T19:01:33.5563413Z,ALL,D01,2016-02-27T19:01:58.9365595Z,0,2016-02-27T19:01:59.3090000Z,Record
0,0.0019550342130987292,0.0019550342130987292,0.0019550342130987292,0.0019550342130987292,59.35604,DarkSlateBlue,Record,Record,100614.109,22.3508129,0.509286412512219,0.52101661779081132,0.15933528836754643,2016-02-27T19:01:38.6063729Z,ALL,D01,2016-02-27T19:02:03.9161426Z,0,2016-02-27T19:02:04.3560000Z,Record
0.0019550342130987292,0.0019550342130987292,0.0029325513196480938,0.0029325513196480938,0.0029325513196480938,59.2212868,DarkSlateBlue,Record,Record,100615.7,22.3508129,0.509286412512219,0.52101661779081132,0.15835777126099707,2016-02-27T19:01:43.6545135Z,ALL,D01,2016-02-27T19:02:09.0018320Z,0,2016-02-27T19:02:09.4350000Z,Record
0.0029325513196480938,0.0029325513196480938,0.0029325513196480938,0.0029325513196480938,0.0029325513196480938,59.4432373,DarkSlateBlue,Record,Record,100613.047,22.3508129,0.50830889540566959,0.52101661779081132,0.1573802541544477,2016-02-27T19:01:48.7166386Z,ALL,D01,2016-02-27T19:02:14.0099926Z,0,2016-02-27T19:02:14.4820000Z,Record
0.0097751710654936461,0.0048875855327468231,0.0029325513196480938,0.0029325513196480938,0.0029325513196480938,59.2899857,DarkSlateBlue,Record,Record,100614.875,22.3408375,0.50830889540566959,0.52101661779081132,0.15933528836754643,2016-02-27T19:01:53.7500211Z,ALL,D01,2016-02-27T19:02:19.0494564Z,0,2016-02-27T19:02:19.4970000Z,Record
0.0097751710654936461,0.0039100684261974585,0.0029325513196480938,0.0019550342130987292,0.0019550342130987292,59.31905,DarkSlateBlue,Record,Record,100614.531,22.3408375,0.50830889540566959,0.52101661779081132,0.15835777126099707,2016-02-27T19:01:58.7805132Z,ALL,D01,2016-02-27T19:02:24.0551703Z,0,2016-02-27T19:02:24.5290000Z,Record
0.011730205278592375,0.0048875855327468231,0.0029325513196480938,0.0029325513196480938,0.0029325513196480938,59.30848,DarkSlateBlue,Record,Record,100614.688,22.3408375,0.50830889540566959,0.52101661779081132,0.15933528836754643,2016-02-27T19:02:03.8027633Z,ALL,D01,2016-02-27T19:02:29.1131090Z,0,2016-02-27T19:02:29.5600000Z,Record
0.0068426197458455523,0.0029325513196480938,0.0019550342130987292,0.0019550342130987292,0.0019550342130987292,59.543644,DarkSlateBlue,Record,Record,100611.875,22.3408375,0.509286412512219,0.52101661779081132,0.15835777126099707,2016-02-27T19:02:08.8320133Z,ALL,D01,2016-02-27T19:02:34.3076440Z,0,2016-02-27T19:02:34.5920000Z,Record
0.010752688172043012,0.0048875855327468231,0.0029325513196480938,0.0019550342130987292,0.0019550342130987292,59.168438,DarkSlateBlue,Record,Record,100616.352,22.3408375,0.50830889540566959,0.52101661779081132,0.1573802541544477,2016-02-27T19:02:13.8720167Z,ALL,D01,2016-02-27T19:02:39.2393109Z,0,2016-02-27T19:02:39.6230000Z,Record
0.0019550342130987292,0.0019550342130987292,0.0019550342130987292,0.0019550342130987292,0.0019550342130987292,59.4036026,DarkSlateBlue,Record,Record,100613.531,22.3458252,0.509286412512219,0.52101661779081132,0.15835777126099707,2016-02-27T19:02:18.9020181Z,ALL,D01,2016-02-27T19:02:44.1757425Z,0,2016-02-27T19:02:44.6550000Z,Record
0.099706744868035185,0.02932551319648094,0.0097751710654936461,0.0048875855327468231,0.0039100684261974585,59.3983154,DarkSlateBlue,Record,Record,100613.609,22.3707657,0.509286412512219,0.52101661779081132,0.15542521994134897,2016-02-27T19:02:23.9523938Z,ALL,D01,2016-02-27T19:02:49.2538463Z,0,2016-02-27T19:02:49.7020000Z,Record
0.010752688172043012,0.0048875855327468231,0.0029325513196480938,0.0029325513196480938,0.0029325513196480938,59.5383568,DarkSlateBlue,Record,Record,100611.922,22.3657761,0.50830889540566959,0.52101661779081132,0.1573802541544477,2016-02-27T19:02:28.9813893Z,ALL,D01,2016-02-27T19:02:54.2785688Z,0,2016-02-27T19:02:54.7490000Z,Record
0,0.0068426197458455523,0.0039100684261974585,0.0029325513196480938,0.0029325513196480938,60.00604,DarkSlateBlue,Record,Record,100606.344,22.3807411,0.50830889540566959,0.52101661779081132,0.15835777126099707,2016-02-27T19:02:34.0268935Z,ALL,D01,2016-02-27T19:02:59.3662784Z,0,2016-02-27T19:02:59.7650000Z,Record
0.0078201368523949169,0.0039100684261974585,0.0029325513196480938,0.0029325513196480938,0.0029325513196480938,59.68897,DarkSlateBlue,Record,Record,100610.117,22.3807411,0.509286412512219,0.52101661779081132,0.15835777126099707,2016-02-27T19:02:39.0475163Z,ALL,D01,2016-02-27T19:03:04.4849841Z,0,2016-02-27T19:03:04.7960000Z,Record
0.0029325513196480938,0.0019550342130987292,0.0019550342130987292,0.0019550342130987292,0.0019550342130987292,59.4960823,DarkSlateBlue,Record,Record,100612.438,22.3707657,0.50830889540566959,0.52101661779081132,0.1573802541544477,2016-02-27T19:02:44.0962048Z,ALL,D01,2016-02-27T19:03:09.4694623Z,0,2016-02-27T19:03:09.8590000Z,Record
0.0078201368523949169,0.0039100684261974585,0.0029325513196480938,0.0019550342130987292,0.0019550342130987292,59.6625443,DarkSlateBlue,Record,Record,100610.43,22.3757534,0.50830889540566959,0.52101661779081132,0.1573802541544477,2016-02-27T19:02:49.1566389Z,ALL,D01,2016-02-27T19:03:14.4399951Z,0,2016-02-27T19:03:14.9060000Z,Record
0.0048875855327468231,0.0039100684261974585,0.0029325513196480938,0.0029325513196480938,0.0029325513196480938,59.6149826,DarkSlateBlue,Record,Record,100611.008,22.3757534,0.50830889540566959,0.52101661779081132,0.15835777126099707,2016-02-27T19:02:54.1917649Z,ALL,D01,2016-02-27T19:03:19.5406568Z,0,2016-02-27T19:03:19.9370000Z,Record
0.0039100684261974585,0.0019550342130987292,0.0019550342130987292,0.0019550342130987292,0.0019550342130987292,59.0601044,DarkSlateBlue,Record,Record,100617.641,22.3707657,0.50830889540566959,0.52101661779081132,0.15835777126099707,2016-02-27T19:02:59.2221404Z,ALL,D01,2016-02-27T19:03:24.5105604Z,0,2016-02-27T19:03:24.9690000Z,Record
0,0.00097751710654936461,0.0019550342130987292,0.0019550342130987292,0.0019550342130987292,59.5938454,DarkSlateBlue,Record,Record,100611.266,22.3707657,0.50830889540566959,0.52101661779081132,0.15933528836754643,2016-02-27T19:03:04.2709945Z,ALL,D01,2016-02-27T19:03:29.6620452Z,0,2016-02-27T19:03:30.0160000Z,Record
0.0058651026392961877,0.0029325513196480938,0.0019550342130987292,0.0019550342130987292,0.0019550342130987292,59.4696579,DarkSlateBlue,Record,Record,100612.758,22.3707657,0.50830889540566959,0.52101661779081132,0.1573802541544477,2016-02-27T19:03:09.3084350Z,ALL,D01,2016-02-27T19:03:34.6859086Z,0,2016-02-27T19:03:35.0630000Z,Record
0,0.00097751710654936461,0.0019550342130987292,0.0019550342130987292,0.0019550342130987292,59.7048225,DarkSlateBlue,Record,Record,100609.938,22.3657761,0.50830889540566959,0.52101661779081132,0.15835777126099707,2016-02-27T19:03:14.3698967Z,ALL,D01,2016-02-27T19:03:39.7797630Z,0,2016-02-27T19:03:40.1260000Z,Record
0.0058651026392961877,0.0039100684261974585,0.0029325513196480938,0.0029325513196480938,0.0029325513196480938,59.6017723,DarkSlateBlue,Record,Record,100611.156,22.3657761,0.50830889540566959,0.52101661779081132,0.15835777126099707,2016-02-27T19:03:19.3863894Z,ALL,D01,2016-02-27T19:03:44.8057100Z,0,2016-02-27T19:03:45.1430000Z,Record
0.0078201368523949169,0.0039100684261974585,0.0029325513196480938,0.0029325513196480938,0.0029325513196480938,59.5594978,DarkSlateBlue,Record,Record,100611.656,22.3508129,0.50830889540566959,0.52101661779081132,0.15835777126099707,2016-02-27T19:03:24.4102630Z,ALL,D01,2016-02-27T19:03:49.8020728Z,0,2016-02-27T19:03:50.1740000Z,Record
0.0097751710654936461,0.0048875855327468231,0.0029325513196480938,0.0029325513196480938,0.0029325513196480938,59.9294128,DarkSlateBlue,Record,Record,100607.242,22.3707657,0.50830889540566959,0.52101661779081132,0.15933528836754643,2016-02-27T19:03:29.4556381Z,ALL,D01,2016-02-27T19:03:54.7363082Z,0,2016-02-27T19:03:55.2050000Z,Record
0.0087976539589442824,0.0039100684261974585,0.0029325513196480938,0.0029325513196480938,0.0029325513196480938,59.69161,DarkSlateBlue,Record,Record,100610.094,22.3558,0.50830889540566959,0.52101661779081132,0.15933528836754643,2016-02-27T19:03:34.4972639Z,ALL,D01,2016-02-27T19:03:59.8271279Z,0,2016-02-27T19:04:00.2680000Z,Record
0.0087976539589442824,0.0039100684261974585,0.0029325513196480938,0.0019550342130987292,0.0019550342130987292,59.3269768,DarkSlateBlue,Record,Record,100614.453,22.3558,0.509286412512219,0.52101661779081132,0.1573802541544477,2016-02-27T19:03:39.5256387Z,ALL,D01,2016-02-27T19:04:04.8052267Z,0,2016-02-27T19:04:05.2840000Z,Record
0,0.0019550342130987292,0.0019550342130987292,0.0019550342130987292,0.0019550342130987292,59.9531937,DarkSlateBlue,Record,Record,100606.984,22.3607883,0.509286412512219,0.52101661779081132,0.15933528836754643,2016-02-27T19:03:44.5748331Z,ALL,D01,2016-02-27T19:04:09.9467884Z,0,2016-02-27T19:04:10.3310000Z,Record
